,Segment_labels,TotalMonetary,TotalCustomers,MeanRecency,MeanFrequency,Monetary%,Customers%
11,VIP,35924595.09,26729,1.7143551947323132,11.568708144711737,83.61537092166348,21.919257357945927
2,High Promising,2236624.08,16541,2.624448340487274,4.093404268182093,5.205797075596888,13.564534249608423
9,Top Recent,1822042.74,3074,10.676968119713727,7.545217957059206,4.2408488991608015,2.520849905283616
0,High Loyal,849741.91,6706,11.102594691321205,3.7724425887265136,1.9777950124234174,5.499290652189957
8,Need Activation,818819.24,29697,23.54032393844496,1.4936525574973902,1.9058217440967848,24.353181404426657
6,Medium New,472035.7,16194,7.2386068914412744,1.6771026306039274,1.098674600086274,13.279975070319738
10,Top at Risk ,326120.69,681,20.662261380323056,6.907488986784141,0.7590538568705919,0.558457640044939
1,High New,247745.65,3266,7.043172075933864,1.9932639314145744,0.5766340404695321,2.6783005174548764
3,Low Loyal,95466.74,12207,9.555091341033833,1.0268698287867617,0.2222011648505405,10.010414701950912
7,Medium Potential,93996.48,2247,2.7832665776591012,2.9114374721851357,0.21877909885527183,1.8426641955667813
5,Medium Loyal,50847.06,1239,11.428571428571429,2.8627925746569813,0.11834777181273105,1.0160484816676645
4,Low New,26068.82,3362,1.0324211778703154,1.039559785841761,0.060675814113680504,2.7570258235405065
